jumps_resolved_static,jumps_resolved_contextual,jumps_resolved_dynamic,jumps_unresolved_static,jumps_unresolved_contextual,jumps_unresolved_dynamic,uaa_no_target,uaa_unbounded,uaa_nonsound,term_stop,term_timeout,term_queue_full,term_max_depth,term_subsumed,term_invalid_opcode,term_stack_underflow,term_stack_overflow,term_stack_out_of_bound,term_op_error,uaa_total
375,0,0,0,0,3,0,0,3,312,0,0,0,36,25,0,0,0,0,3
734,0,0,0,0,0,0,0,0,520,0,0,0,198,1,0,0,0,0,0
84,0,0,0,0,0,0,0,0,73,0,0,0,11,0,0,0,0,0,0
127,0,0,0,0,0,0,0,0,91,0,0,0,36,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,50,0,0,0,1,0,0,0,0,0,0
119,0,11,0,0,6,0,0,6,110,0,0,0,16,8,0,0,0,0,6
321,0,0,0,0,1,0,0,1,245,0,0,0,55,10,0,0,0,0,1
175,0,0,0,0,1,0,0,1,133,0,0,0,32,8,0,0,0,0,1
43,0,0,0,0,0,0,0,0,42,0,0,0,2,0,0,0,0,0,0
135,0,13,0,0,1,0,0,1,140,0,0,0,2,7,0,0,0,0,1
252,0,0,0,0,1,0,0,1,186,0,0,0,48,17,0,0,0,0,1
47,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0
290,0,22,0,0,3,0,0,3,268,0,0,0,12,26,0,0,0,0,3
80,0,8,0,0,0,0,0,0,60,0,0,0,17,10,0,0,0,0,0
60,0,0,0,0,3,0,0,3,51,0,0,0,9,3,0,0,0,0,3
78,0,0,0,0,0,0,0,0,69,0,0,0,8,0,0,0,0,0,0
223,0,0,0,0,1,0,0,1,182,0,0,0,34,3,0,0,0,0,1
418,0,17,0,0,8,0,0,8,308,0,0,0,82,49,0,0,0,0,8
255,0,0,0,0,0,0,0,0,192,0,0,0,59,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,62,0,0,0,5,3,0,0,0,0,0
470,0,0,0,0,5,0,0,5,404,0,0,0,60,5,0,0,0,0,5
200,0,0,0,0,2,0,0,2,161,0,0,0,39,2,0,0,0,0,2
84,0,0,0,0,0,0,0,0,77,0,0,0,6,0,0,0,0,0,0
295,0,0,0,0,5,0,0,5,261,0,0,0,33,5,0,0,0,0,5
68,0,0,0,0,0,0,0,0,66,0,0,0,1,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
276,0,0,0,0,1,0,0,1,237,0,0,0,33,1,0,0,0,0,1
548,0,0,0,0,0,0,0,0,374,0,0,0,128,12,0,0,1,0,0
453,0,27,0,0,4,0,0,4,422,0,0,0,44,7,0,0,0,0,4
234,0,0,0,0,0,0,0,0,189,0,0,0,37,2,0,0,0,0,0
336,0,0,0,0,10,0,0,10,204,0,0,0,44,92,0,0,0,0,10
285,0,12,0,0,2,0,0,2,253,0,0,0,29,14,0,0,0,1,2
177,0,11,0,0,5,0,0,5,167,0,0,0,16,5,0,0,0,0,5
100,0,0,0,0,3,0,0,3,82,0,0,0,19,3,0,0,0,0,3
155,0,0,0,0,0,0,0,0,128,0,0,0,11,16,0,0,0,0,0
559,0,0,0,0,19,0,0,19,349,0,0,0,91,124,0,0,0,0,19
128,0,0,0,0,4,0,0,4,100,0,0,0,26,4,0,0,0,0,4
190,0,16,0,0,0,0,0,0,192,0,0,0,0,12,0,0,0,0,0
188,0,0,0,0,1,0,0,1,143,0,0,0,38,1,0,0,0,0,1
472,0,0,0,0,5,0,0,5,411,0,0,0,43,9,0,0,0,0,5
154,0,0,0,0,0,0,0,0,120,0,0,0,34,0,0,0,0,0,0
385,0,31,0,0,7,0,0,7,306,0,0,0,65,39,0,0,0,1,7
190,0,0,0,0,0,0,0,0,152,0,0,0,34,2,0,0,0,0,0
146,0,0,0,0,0,0,0,0,144,0,0,0,3,0,0,0,0,0,0
73,0,5,0,0,0,0,0,0,63,0,0,0,11,5,0,0,0,0,0
390,0,0,0,0,0,0,0,0,336,0,0,0,22,11,1,0,0,0,0
347,0,5,0,0,7,0,0,7,283,0,0,0,53,10,0,0,0,0,7
131,0,0,0,0,0,0,0,0,95,0,0,0,30,0,0,0,0,0,0
286,0,0,0,0,0,0,0,0,230,0,0,0,54,0,0,0,0,0,0
87,0,0,0,0,2,0,0,2,73,0,0,0,14,2,0,0,0,0,2
936,0,58,0,0,6,0,0,6,800,0,0,0,151,23,0,0,0,1,6
383,0,0,0,0,3,0,0,3,318,0,0,0,37,25,0,0,0,0,3
433,0,10,0,0,3,0,0,3,426,0,0,0,16,3,1,0,0,0,3
367,0,0,0,0,4,0,0,4,323,0,0,0,28,7,0,0,0,0,4
118,0,0,0,0,0,0,0,0,116,0,0,0,3,0,0,0,0,0,0
341,0,27,0,0,4,0,0,4,325,0,0,0,33,8,0,0,0,0,4
413,0,19,0,0,3,0,0,3,381,0,0,0,19,21,0,0,0,0,3
840,0,0,0,0,2,0,0,2,596,0,0,0,208,11,0,0,0,0,2
349,0,0,0,0,2,0,0,2,311,0,0,0,38,2,0,0,0,0,2
104,0,0,0,0,4,0,0,4,85,0,0,0,18,4,0,0,0,0,4
326,0,0,0,0,4,0,0,4,263,0,0,0,34,31,0,0,0,0,4
672,0,21,0,0,19,0,0,19,502,0,0,0,116,62,0,0,0,0,19
67,0,0,0,0,1,0,0,1,67,0,0,0,1,1,0,0,0,0,1
601,0,0,0,0,16,0,0,16,379,0,0,0,137,93,0,0,0,0,16
195,0,0,0,0,6,0,0,6,168,0,0,0,16,9,0,0,0,0,6
34,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
289,0,0,0,0,0,0,0,0,210,0,0,0,41,35,0,0,0,0,0
146,0,0,0,0,3,0,0,3,104,0,0,0,40,3,0,0,0,0,3
340,0,0,0,0,4,0,0,4,265,0,0,0,61,6,0,0,0,0,4
254,0,0,0,0,0,0,0,0,174,0,0,0,63,10,0,0,0,0,0
1695,0,0,0,0,1,0,0,1,1078,0,0,0,557,9,0,0,0,0,1
199,0,0,0,0,1,0,0,1,152,0,0,0,47,1,0,0,0,0,1
1028,0,0,0,0,3,0,0,3,784,0,0,0,205,35,0,0,0,0,3
