sample_id,status,max_ram_kb,exec_time_ms,avg_cpu_percent,failed_to_parse,exit_status,nodes,unique_blocks,edges,mccabe,density,max_out_degree,max_in_degree,avg_out_degree,avg_in_degree,branching_nodes,merge_nodes,entry_points,exit_points,islands,cycles,detected_entry,reachable_nodes,total_nodes,max_depth,orphan_nodes,is_invalid,invalid_percentage,block_count
Contract_0x18d657832c75a9ac8bc5d15a129d5f23b04f8628.evm,ok,18460,20,50.00,false,0,325,325,388,65,0.0037,3,21,1.19,1.19,153,28,1,94,0,true,block_0x0000,325,325,39,0,false,0.00,414
Contract_0x18fe2ed05b78fb98be7e232975529ade3ebefd57.evm,ok,12856,10,100.00,false,0,70,70,75,7,0.0155,2,2,1.07,1.07,32,6,1,27,0,true,block_0x0000,70,70,24,0,false,0.00,69
Contract_0x191e2c947a37816a75c7db1d6d14dd9974583a6b.evm,ok,16472,20,50.00,false,0,214,214,250,38,0.0055,4,10,1.17,1.17,92,17,1,60,0,true,block_0x0000,214,214,18,0,false,0.00,224
Contract_0x1929768c55da174c8e14838a12229392a663875d.evm,ok,15712,20,0.00,false,0,264,264,320,58,0.0046,4,12,1.21,1.21,124,24,1,72,0,true,block_0x0000,264,264,36,0,false,0.00,272
Contract_0x1964f2f3ce45ac518b18ef4aa4265f8aadcef4ae.evm,ok,15076,30,33.33,false,0,172,172,208,38,0.0071,4,7,1.21,1.21,66,21,1,36,0,true,block_0x0000,172,172,16,0,false,0.00,182
Contract_0x1977c795b5f52bf6f8150136b07822d1f00704f3.evm,ok,17380,10,100.00,false,0,248,248,287,41,0.0047,5,10,1.16,1.16,99,20,1,67,0,true,block_0x0000,248,248,28,0,false,0.00,283
Contract_0x1983894a01de535f71e4d5e8919cafb049db6f25.evm,ok,12484,10,0.00,false,0,7,7,8,3,0.1905,2,2,1.14,1.14,3,2,1,2,0,false,block_0x0000,7,7,3,0,false,0.00,7
Contract_0x19933559f653b193dd5f3d82685d5b04e726f5e9.evm,ok,19272,30,33.33,false,0,261,261,339,80,0.0050,5,14,1.30,1.30,107,41,1,39,0,true,block_0x0000,261,261,24,0,false,0.00,562
Contract_0x199f7fcfae24c413897be8ab5477950847cd3f0f.evm,ok,18100,10,100.00,false,0,273,273,335,66,0.0045,11,19,1.23,1.23,120,20,2,71,1,true,block_0x0000,273,273,19,0,false,0.00,465
Contract_0x19c5a48eba1f50d63054144c62ff11665c91e805.evm,ok,14652,20,50.00,false,0,183,183,210,29,0.0063,4,9,1.15,1.15,76,13,1,53,0,true,block_0x0000,183,183,24,0,false,0.00,191
Contract_0x1C98ad0777973F879EB0Ca89fdD7c90Fc762bA5a.evm,ok,23028,30,33.33,false,0,356,356,413,61,0.0033,5,8,1.16,1.16,160,33,2,112,1,true,block_0x0000,356,356,34,0,false,0.00,570
Contract_0x1DDCabB4FF6E0Bf552B034a0EC4aE399BBDB1F6F.evm,ok,12660,10,0.00,false,0,107,107,135,30,0.0119,4,7,1.26,1.26,47,17,1,22,0,true,block_0x0000,107,107,16,0,false,0.00,106
Contract_0x1a0e82b03130b4fdf8cfba3c41dd7b5e3749ec96.evm,ok,15276,20,50.00,false,0,198,198,222,26,0.0057,3,9,1.12,1.12,81,12,1,59,0,true,block_0x0000,198,198,25,0,false,0.00,205
Contract_0x1a41781a8ba04f5818c91f62a1ff7df5e6cffc38.evm,ok,32012,50,60.00,false,0,534,534,641,109,0.0023,4,17,1.20,1.20,247,35,1,146,0,true,block_0x0000,534,534,29,0,false,0.00,1136
Contract_0x1a44e3774780af20657121a8abdd16272f2b388a.evm,ok,12472,10,0.00,false,0,99,99,115,18,0.0119,2,5,1.16,1.16,42,12,1,26,0,true,block_0x0000,99,99,17,0,false,0.00,98
Contract_0x1a696C27be494BadDfa63A8ff1C37366F526c669.evm,ok,12484,10,0.00,false,0,73,73,84,13,0.0160,3,2,1.15,1.15,31,12,1,21,0,true,block_0x0000,73,73,13,0,false,0.00,72
Contract_0x1adf9ba15cc8cdc65ff8461e161d74d95c9c4096.evm,ok,13668,10,0.00,false,0,123,123,150,29,0.0100,2,6,1.22,1.22,53,21,1,26,0,true,block_0x0000,123,123,18,0,false,0.00,122
Contract_0x1b073382e63411e3bcffe90ac1b9a43fefa1ec6f.evm,ok,14584,10,0.00,false,0,187,187,228,43,0.0066,4,9,1.22,1.22,78,20,1,40,0,true,block_0x0000,187,187,16,0,false,0.00,196
Contract_0x1b14e8d511c9a4395425314f849bd737baf8208f.evm,ok,12484,0,0.00,false,0,57,57,59,4,0.0185,2,2,1.04,1.04,24,3,1,22,0,false,block_0x0000,57,57,14,0,false,0.00,56
Contract_0x1b73aea1875a0d603fd06cbc41f06d1eb2f9e3ce.evm,ok,33524,50,60.00,false,0,581,581,758,179,0.0022,5,24,1.30,1.30,260,85,1,104,0,true,block_0x0000,581,581,64,0,false,0.00,1109
